"age";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
20;778,124;778,124;778,124;778,124;778,124;778,124;778,124;778,124;778,124;778,124;778,124;778,124;669,28;765,08;777,7;865,43;813,13
21;407,274;407,274;407,274;407,274;407,274;407,274;407,274;407,274;407,274;407,274;407,274;407,274;444,95;364,74;424,21;407,12;395,35
22;295,518;295,518;295,518;295,518;295,518;295,518;295,518;295,518;295,518;295,518;295,518;295,518;335,65;283,79;275,96;303,79;278,4
23;265,618;265,618;265,618;265,618;265,618;265,618;265,618;265,618;265,618;265,618;265,618;265,618;301,8;250,24;253,02;263,1;259,93
24;271,956;271,956;271,956;271,956;271,956;271,956;271,956;271,956;271,956;271,956;271,956;271,956;298,73;275,43;259,69;264,64;261,29
25;275,604;275,604;275,604;275,604;275,604;275,604;275,604;275,604;275,604;275,604;275,604;275,604;342,41;271,08;240,47;265,39;258,67
26;339,538;339,538;339,538;339,538;339,538;339,538;339,538;339,538;339,538;339,538;339,538;339,538;436,54;300,68;339,63;328,59;292,25
27;420,914;420,914;420,914;420,914;420,914;420,914;420,914;420,914;420,914;420,914;420,914;420,914;523,03;419,26;404,08;375,65;382,55
28;542,286;542,286;542,286;542,286;542,286;542,286;542,286;542,286;542,286;542,286;542,286;542,286;649,19;549,07;543,65;492,86;476,66
29;703,986;703,986;703,986;703,986;703,986;703,986;703,986;703,986;703,986;703,986;703,986;703,986;855,5;741,61;748,13;634,53;540,16
30;924,81;924,81;924,81;924,81;924,81;924,81;924,81;924,81;924,81;924,81;924,81;924,81;1147,91;965,92;922,55;818,22;769,45
31;1217,994;1217,994;1217,994;1217,994;1217,994;1217,994;1217,994;1217,994;1217,994;1217,994;1217,994;1217,994;1488,14;1301,18;1228,45;1070,3;1001,9
32;1596,452;1596,452;1596,452;1596,452;1596,452;1596,452;1596,452;1596,452;1596,452;1596,452;1596,452;1596,452;1947,71;1713,36;1652,74;1383,97;1284,48
33;2040,044;2040,044;2040,044;2040,044;2040,044;2040,044;2040,044;2040,044;2040,044;2040,044;2040,044;2040,044;2503,6;2192,34;2093,17;1804,23;1606,88
34;2533,954;2533,954;2533,954;2533,954;2533,954;2533,954;2533,954;2533,954;2533,954;2533,954;2533,954;2533,954;3084,23;2779,03;2522,62;2261,52;2022,37
35;3140,632;3140,632;3140,632;3140,632;3140,632;3140,632;3140,632;3140,632;3140,632;3140,632;3140,632;3140,632;4029,79;3268,09;3249,79;2695,05;2460,44
36;3758,712;3758,712;3758,712;3758,712;3758,712;3758,712;3758,712;3758,712;3758,712;3758,712;3758,712;3758,712;4754,71;4245,75;3608,58;3343,49;2841,03
37;4418,194;4418,194;4418,194;4418,194;4418,194;4418,194;4418,194;4418,194;4418,194;4418,194;4418,194;4418,194;5496,12;4983,67;4558,31;3603,44;3449,43
38;5168,722;5168,722;5168,722;5168,722;5168,722;5168,722;5168,722;5168,722;5168,722;5168,722;5168,722;5168,722;6512,44;5672,71;5395,99;4546,96;3715,51
39;5934,754;5934,754;5934,754;5934,754;5934,754;5934,754;5934,754;5934,754;5934,754;5934,754;5934,754;5934,754;7109,02;6643,17;5923,22;5389,63;4608,73
40;6641,01;6641,01;6641,01;6641,01;6641,01;6641,01;6641,01;6641,01;6641,01;6641,01;6641,01;6641,01;7626,62;7228,55;6990,81;5923,83;5435,24
41;7198,292;7198,292;7198,292;7198,292;7198,292;7198,292;7198,292;7198,292;7198,292;7198,292;7198,292;7198,292;7803,67;7702,59;7572,23;6949,38;5963,59
42;7704,372;7704,372;7704,372;7704,372;7704,372;7704,372;7704,372;7704,372;7704,372;7704,372;7704,372;7704,372;8361,56;7809,23;8048,72;7378,17;6924,18
43;8028,692;8028,692;8028,692;8028,692;8028,692;8028,692;8028,692;8028,692;8028,692;8028,692;8028,692;8028,692;8477,03;8306,8;8134,08;7858,56;7366,99
44;8224,102;8224,102;8224,102;8224,102;8224,102;8224,102;8224,102;8224,102;8224,102;8224,102;8224,102;8224,102;8613,68;8380,98;8489,74;7930,16;7705,95
45;8317,014;8317,014;8317,014;8317,014;8317,014;8317,014;8317,014;8317,014;8317,014;8317,014;8317,014;8317,014;8357,75;8520,23;8640,29;8315,39;7751,41
46;8347,126;8347,126;8347,126;8347,126;8347,126;8347,126;8347,126;8347,126;8347,126;8347,126;8347,126;8347,126;8531,01;8192,02;8627,14;8361,03;8024,43
47;8310,646;8310,646;8310,646;8310,646;8310,646;8310,646;8310,646;8310,646;8310,646;8310,646;8310,646;8310,646;8411,31;8351,2;8263,19;8434,08;8093,45
48;8257,746;8257,746;8257,746;8257,746;8257,746;8257,746;8257,746;8257,746;8257,746;8257,746;8257,746;8257,746;8461,65;8175,09;8583,11;8031,78;8037,1
49;8125,47;8125,47;8125,47;8125,47;8125,47;8125,47;8125,47;8125,47;8125,47;8125,47;8125,47;8125,47;8278,53;8243,76;8286,83;8151,69;7666,54
50;8033,558;8033,558;8033,558;8033,558;8033,558;8033,558;8033,558;8033,558;8033,558;8033,558;8033,558;8033,558;8271,52;8044,17;8314,35;7964,34;7573,41
51;7916,06;7916,06;7916,06;7916,06;7916,06;7916,06;7916,06;7916,06;7916,06;7916,06;7916,06;7916,06;8143,06;8020,95;8081,78;7975,01;7359,5
52;7798,926;7798,926;7798,926;7798,926;7798,926;7798,926;7798,926;7798,926;7798,926;7798,926;7798,926;7798,926;7933,13;7909,38;8120,72;7684,7;7346,7
53;7649,708;7649,708;7649,708;7649,708;7649,708;7649,708;7649,708;7649,708;7649,708;7649,708;7649,708;7649,708;7943,29;7669,26;8029,29;7644,66;6962,04
54;7483,26;7483,26;7483,26;7483,26;7483,26;7483,26;7483,26;7483,26;7483,26;7483,26;7483,26;7483,26;7586,55;7672,39;7702,98;7482,71;6971,67
55;7278,218;7278,218;7278,218;7278,218;7278,218;7278,218;7278,218;7278,218;7278,218;7278,218;7278,218;7278,218;7363,54;7283,37;7759,64;7238,89;6745,65
56;7054,536;7054,536;7054,536;7054,536;7054,536;7054,536;7054,536;7054,536;7054,536;7054,536;7054,536;7054,536;6892,78;7082,97;7418,55;7345,95;6532,43
57;6918,03;6918,03;6918,03;6918,03;6918,03;6918,03;6918,03;6918,03;6918,03;6918,03;6918,03;6918,03;6824,76;6663,46;7287,41;7093,17;6721,35
58;6767,896;6767,896;6767,896;6767,896;6767,896;6767,896;6767,896;6767,896;6767,896;6767,896;6767,896;6767,896;6914,75;6594,11;6977,41;6891,71;6461,5
59;6461,054;6461,054;6461,054;6461,054;6461,054;6461,054;6461,054;6461,054;6461,054;6461,054;6461,054;6461,054;6329,7;6619,6;6826,37;6386,95;6142,65
60;6127,494;6127,494;6127,494;6127,494;6127,494;6127,494;6127,494;6127,494;6127,494;6127,494;6127,494;6127,494;5860,89;6014,19;6769,01;6342,76;5650,62
61;5754,878;5754,878;5754,878;5754,878;5754,878;5754,878;5754,878;5754,878;5754,878;5754,878;5754,878;5754,878;4985,51;5527,11;6328,54;6305,6;5627,63
62;5206,322;5206,322;5206,322;5206,322;5206,322;5206,322;5206,322;5206,322;5206,322;5206,322;5206,322;5206,322;3949,95;4731,18;5822,13;5817,51;5710,84
63;4806,316;4806,316;4806,316;4806,316;4806,316;4806,316;4806,316;4806,316;4806,316;4806,316;4806,316;4806,316;5178,56;3713,21;4792,41;5264,81;5082,59
64;4456,63;4456,63;4456,63;4456,63;4456,63;4456,63;4456,63;4456,63;4456,63;4456,63;4456,63;4456,63;4661,75;4827,57;3777,77;4452,78;4563,28
65;4062,906;4062,906;4062,906;4062,906;4062,906;4062,906;4062,906;4062,906;4062,906;4062,906;4062,906;4062,906;3903,34;4354,83;4836,58;3377,9;3841,88
66;3937,938;3937,938;3937,938;3937,938;3937,938;3937,938;3937,938;3937,938;3937,938;3937,938;3937,938;3937,938;4127,02;3599,82;4433,1;4502,64;3027,11
67;3894,924;3894,924;3894,924;3894,924;3894,924;3894,924;3894,924;3894,924;3894,924;3894,924;3894,924;3894,924;3736,68;3870,73;3781,77;4076,05;4009,39
68;3654,924;3654,924;3654,924;3654,924;3654,924;3654,924;3654,924;3654,924;3654,924;3654,924;3654,924;3654,924;3347,07;3547,96;4157,25;3569,35;3652,99
69;3338,808;3338,808;3338,808;3338,808;3338,808;3338,808;3338,808;3338,808;3338,808;3338,808;3338,808;3338,808;2876,37;3167,27;3732,88;3791,72;3125,8
70;3081,72;3081,72;3081,72;3081,72;3081,72;3081,72;3081,72;3081,72;3081,72;3081,72;3081,72;3081,72;2541,19;2744,93;3239,41;3391,96;3491,11
71;2712,666;2712,666;2712,666;2712,666;2712,666;2712,666;2712,666;2712,666;2712,666;2712,666;2712,666;2712,666;2163,58;2377,56;2898,08;3137,7;2986,41
72;2385,374;2385,374;2385,374;2385,374;2385,374;2385,374;2385,374;2385,374;2385,374;2385,374;2385,374;2385,374;1955,72;2062,98;2452,49;2650,36;2805,32
73;2078,652;2078,652;2078,652;2078,652;2078,652;2078,652;2078,652;2078,652;2078,652;2078,652;2078,652;2078,652;1658,56;1854,97;2102,37;2340,42;2436,94
74;1754,788;1754,788;1754,788;1754,788;1754,788;1754,788;1754,788;1754,788;1754,788;1754,788;1754,788;1754,788;1226,33;1560,44;1904,03;1994,89;2088,25
75;1487,17;1487,17;1487,17;1487,17;1487,17;1487,17;1487,17;1487,17;1487,17;1487,17;1487,17;1487,17;1144,69;1144,58;1543,9;1768,69;1833,99
76;1278,08;1278,08;1278,08;1278,08;1278,08;1278,08;1278,08;1278,08;1278,08;1278,08;1278,08;1278,08;1174,08;1062,2;1106,21;1448,62;1599,29
77;1129,584;1129,584;1129,584;1129,584;1129,584;1129,584;1129,584;1129,584;1129,584;1129,584;1129,584;1129,584;1173,05;1086,19;1049,55;1033,72;1305,41
78;1045,382;1045,382;1045,382;1045,382;1045,382;1045,382;1045,382;1045,382;1045,382;1045,382;1045,382;1045,382;1120,23;1092;1099,04;981,66;933,98
79;1023,458;1023,458;1023,458;1023,458;1023,458;1023,458;1023,458;1023,458;1023,458;1023,458;1023,458;1023,458;1137,31;1037,13;1057,9;1010,83;874,12
80;984,714;984,714;984,714;984,714;984,714;984,714;984,714;984,714;984,714;984,714;984,714;984,714;1002,91;1033,46;1003,35;978,19;905,66
81;922,274;922,274;922,274;922,274;922,274;922,274;922,274;922,274;922,274;922,274;922,274;922,274;933,67;923,57;974,67;924,26;855,2
82;842,432;842,432;842,432;842,432;842,432;842,432;842,432;842,432;842,432;842,432;842,432;842,432;821,75;843,7;882,53;870,29;793,89
83;757,264;757,264;757,264;757,264;757,264;757,264;757,264;757,264;757,264;757,264;757,264;757,264;652,44;741,61;797,1;801,67;793,5
84;646,282;646,282;646,282;646,282;646,282;646,282;646,282;646,282;646,282;646,282;646,282;646,282;528,55;578,3;709,24;715,1;700,22
85;554,604;554,604;554,604;554,604;554,604;554,604;554,604;554,604;554,604;554,604;554,604;554,604;524,84;473,62;529,04;637,41;608,11
86;471,4;471,4;471,4;471,4;471,4;471,4;471,4;471,4;471,4;471,4;471,4;471,4;459,91;463,18;422,09;479,78;532,04
87;396,04;396,04;396,04;396,04;396,04;396,04;396,04;396,04;396,04;396,04;396,04;396,04;395,77;398,2;412,9;371,3;402,03
88;321,242;321,242;321,242;321,242;321,242;321,242;321,242;321,242;321,242;321,242;321,242;321,242;265,19;323,28;354,68;360,51;302,55
89;244,13;244,13;244,13;244,13;244,13;244,13;244,13;244,13;244,13;244,13;244,13;244,13;141,03;220,01;273,85;301,14;284,62
90;174,332;174,332;174,332;174,332;174,332;174,332;174,332;174,332;174,332;174,332;174,332;174,332;113,9;120,82;179,24;227,46;230,24
91;123;123;123;123;123;123;123;123;123;123;123;123;95,76;93,95;99,91;142,49;182,89
92;86,036;86,036;86,036;86,036;86,036;86,036;86,036;86,036;86,036;86,036;86,036;86,036;93,16;77,24;79,27;72,54;107,97
93;63,208;63,208;63,208;63,208;63,208;63,208;63,208;63,208;63,208;63,208;63,208;63,208;77,06;68,33;63,01;57,78;49,86
94;44,714;44,714;44,714;44,714;44,714;44,714;44,714;44,714;44,714;44,714;44,714;44,714;29,57;57,1;50,22;45,4;41,28
95;32,028;32,028;32,028;32,028;32,028;32,028;32,028;32,028;32,028;32,028;32,028;32,028;21,75;20,58;47,47;35,07;35,27
96;21,896;21,896;21,896;21,896;21,896;21,896;21,896;21,896;21,896;21,896;21,896;21,896;11,75;16,84;13,58;38,65;28,66
97;11,854;11,854;11,854;11,854;11,854;11,854;11,854;11,854;11,854;11,854;11,854;11,854;5,16;9;13,64;9;22,47
98;6,792;6,792;6,792;6,792;6,792;6,792;6,792;6,792;6,792;6,792;6,792;6,792;9,08;1,33;7;9,12;7,43
99;4,69;4,69;4,69;4,69;4,69;4,69;4,69;4,69;4,69;4,69;4,69;4,69;6,92;6,33;0;4,36;5,84
100;4,268;4,268;4,268;4,268;4,268;4,268;4,268;4,268;4,268;4,268;4,268;4,268;7,9;6,2;5,24;0;2
